"m003(-2,3)","m003(-2,3)",9,9,jLvLMQQcffhhgiiihllhlgksgsn,jLvLMQQcffhhgiiihllilggbgck,1
"m007(3,1)","m007(3,1)",9,9,jLLLzQQcdfeghiihihsmdfvtawd,jLvAzQQbefgihhiihxttasjvobr,1
"m007(1,2)","m007(1,2)",10,10,kLLLvQQkbcegjhiihjjtsugakvvfdd,kLLLLPQkccfhfihjijjlnawsswhwad,1
"m007(4,1)","m007(4,1)",10,10,kLLLzPQkcdgehgijjijhshdvcttpdf,kLLLLPQkcdfhigjhijjhstrrwqrrpp,1
"m009(5,1)","m009(5,1)",11,11,lLvvAAQQcbghgigkjjikkdmmggvtwswqd,lLLvAMPQcbegfihkjijkkhhhujrlmcmxo,1
"m011(1,3)","m011(1,3)",11,11,lLvAvMQQcbefikihjhkjkdadvqnnnrpnd,lLLvzAQQccdhiiigjkkjkhshsbkfaiqlc,1
"m009(1,2)","m009(1,2)",11,11,lLLLvQPQcccfihgkiijkklnasschjwebg,lLLLLMQPcccfigghjikkklnabnwnpsaso,1
"m007(5,1)","m007(5,1)",11,11,lLLvQzPQcbeghfijkijkkxxiaxxahphrv,lLLLzPMQccdgehjikjkjkhshivauhdigk,1
"m006(3,2)","m006(3,2)",11,11,lLLLLLQQccddgjjikjikkpkrfpuaiqidb,lLLLLAPQcacfghijhijkkjkgjaqidrcwr,1
"m017(-1,3)","m017(-1,3)",11,11,lLvAvMQQcbefihjgikkjkedewvkjjhtvp,lLvALzQQcadfgijkkhjkjjaqjtpuikkok,1
"m007(5,2)","m007(5,2)",11,11,lLLLzzQQccddhijkihkjkpkrghqdqodkf,lLvALAPQcbeffihkjkjjktalxgsqldaiq,1
"m006(-5,2)","m006(-5,2)",11,11,lLLLvPQQcccfkihihkjjklnalrnbkqdhn,lLLLLLQQcbcgiikjijkkjtsmkkxdbmpqm,1
"m036(-3,2)","m036(-3,2)",11,11,lLvAAwMQccfefghjjkkjkumuiaspiicrs,lLLLvAQQcbcgfiiijkjkktsmjrbjqplmg,1
"m015(6,1)","m015(6,1)",11,11,lLLLzzQQccdefhikjjikkhsdmvaimptfw,lLvLLPQQccegijkhikkjjhdmfslsvtarw,1
"m019(3,2)","m019(3,2)",11,11,lLvAvMQQcbefjjkiihkjklaljfxrfvufd,lLvLMAMQcafghfihijjkkndgcrakmernk,1
"m010(4,1)","m010(4,1)",13,12,nLLLLPwQMkcdfgihijjlllmmhsmgcvsphifwqn,mLLLvQPPQacfhfjiiljkllnkghkixmhowqx,1
"m007(-6,1)","m007(-6,1)",13,14,nLLLLLQQzkccfighijikklmmlnabcnbqwikaqw,oLLLzvMMQQccddfkhljlnmnmlnpkrjxotjsogokfr,1
"m009(-6,1)","m009(-6,1)",12,12,mLLLLLQPQbegfkhiijlkllxxqxiofotqrcc,mLLLzAzQQbefgghikljkllxxhhvcvtlxkss,1
"m009(5,2)","m009(5,2)",11,11,lLLvLMQQcbcigikhjhkjktsnonxnrjlrh,lLLLLPPQcbcghihjjkkkjtsmnnnluaadt,1
"m034(-4,1)","m034(-4,1)",12,11,mLLLLzQPQacffgkikljkllnkgvvemgxswxa,lLLLLPQPccdfgjhiihkkkhstgxvfrspso,1
"m011(4,3)","m011(4,3)",12,11,mLvLAMQPPaeghhhjiijkllnxgkfkuqtwkhj,lLLLvAQQccdfjgiikjjkkhstxwfreipah,1
"m015(5,2)","m015(5,2)",11,11,lLLLLPAQcbcgihihjhkkktsmgjgflfhfw,lLLLvPQQcbcghjhkjhjkktsmjafiufmht,1
"m026(-4,1)","m026(-4,1)",12,12,mLLLLPzQQcegehgklljklkqhqqvstpaxpng,mLLvLAAQQcdghjjjhkllklhsgbggsnmqeag,1
"m015(-6,1)","m015(-6,1)",14,13,oLLLvQPMAMcccfihgjiilklmnnlnasscajwwjwthn,nLLLLLAMQkccfggihlkklmmmlnagwjbqhjwffg,1
"m038(4,1)","m038(4,1)",11,12,lLLLMLMQccdgefihkjjkkhshewunmufcv,mLLvLLQQQcdfigkhljjlklhsjvsenmgsuej,1
"m023(-5,1)","m023(-5,1)",13,12,nLLLLvPQQkacfflikiljkmmmnkgnimbgfgrwwv,mLLLLLPQQcdghhjiljlkklhshnvqnapmerf,1
"m017(-1,4)","m017(-1,4)",12,12,mLvLAMMMQcfeghgjiklkklupuujjtvdqnow,mLLLLQPMPbcegighjijklltsxojofafqfqn,1
"m015(8,1)","m015(8,1)",13,13,nLLLLMLPQkcdgfihjlmmlkmlhshnrvaqtpsfnf,nLLvwMAAQkcdgfkikjllmmkmqkmkaciumlqgkb,1
"m019(-4,1)","m019(-4,1)",13,12,nLAvLPPLQkcbbhgjijkmmmllhhkhvcocixxjfr,mLvLALQPQcfghjkikkiljlllaehawhqnhkw,1
"m019(4,3)","m019(4,3)",12,12,mLvAvMQAQbefhhjjikklkledejvnjftmhhj,mLvALMPQPadfgfjhijkjlljaqjoaegwvwhn,1
"m026(4,1)","m026(4,1)",12,13,mLLLLAPMQcdgfhhkkjklllhshcrcmdduqrb,nLvPwLQQzkccgfjkikjkilmmhnahahqqxaqxxr,1
"m023(-6,1)","m023(-6,1)",14,14,oLLzvPALQQccdcgihjkllmmnnnhsnvujprnbbkkck,oLLzvPzMQQccdcgijklnmmknmnhsnvupqtnnbrgvs,1
"m081(3,2)","m081(3,2)",12,12,mLvLLAAQQbgeghjhilkklllmtgossgiaaiv,mvLLLPMQQefggjhilklkklgppaigkpjpvbx,1
"m038(-5,2)","m038(-5,2)",12,12,mLLLLPPMQcdfgjijhklkllhsxglwdkallwc,mLLLLLAQQbdfgjhiljjklldwqwhokpildwo,1
"m033(-2,3)","m033(-2,3)",11,11,lLLLLMQPcbcghghijijkktsmssskhwujw,lLLLwPQMcbcgfhijhijkktsmqrahkqtxk,1
